iso3,country,year,F1_institutional,F2_macro,F3_openness,F4_energy,F5_security,F6_human_capital,F7_financial,fdi_pct_gdp,fdi_usd,cici_score,cici_rank
LBY,Libya,2010,24.7601911773185,57.9810738904826,50.95769721521965,82.00170676957582,52.663511626876506,29.57612280645161,,2.36664960687642,1784000000.0,47.46,10
LBY,Libya,2011,20.441114542575455,31.799647676142428,29.91380239935698,66.09781615721779,42.4613301102089,30.000767276058816,,,,35.18,14
LBY,Libya,2012,26.7347674155508,70.13298487816216,51.04596419437305,82.23860074370896,42.98731268433512,30.21217825663579,,1.53985903839829,1425000000.0,46.45,11
LBY,Libya,2013,21.341973692540023,42.439608316471634,55.91218089642951,71.98447029674648,40.08487162315299,30.501957100702516,,0.931638601844643,702000000.0,44.07,11
LBY,Libya,2014,12.929744528892806,37.82766457436097,38.02579004134652,57.42826627237343,36.88803642705191,30.653225302322262,,,,33.71,15
LBY,Libya,2015,10.228387623499428,50.66698039100572,26.253341574330065,44.48521913223029,37.37540343759253,30.66416035304176,,,,27.58,16
LBY,Libya,2016,10.05065985774773,46.884793992879594,16.77612985282092,40.020047945854216,36.95529364098819,30.613130116350757,,,,23.73,17
LBY,Libya,2017,10.93289662669068,63.83671921228005,20.63955596944619,46.83165735826084,36.63154879725881,30.532939744407766,,,,26.5,17
LBY,Libya,2018,11.781193332231776,57.550794711420075,30.379239700187497,51.85452520643663,36.72339084012348,30.434524287932273,,,,30.44,16
LBY,Libya,2019,11.908964943492307,47.33145172434573,39.507300271686795,55.235143507006725,36.94375396786493,30.29965866239179,,,,33.72,15
LBY,Libya,2020,11.824231038041432,34.48958306224571,22.69573323377012,37.40946271594191,37.259723568915774,22.681573327807484,,,,25.12,17
LBY,Libya,2021,12.437176565495514,66.8306013629497,90.6833746842912,77.73320117648946,37.403203481664086,23.48712206414391,,1.71219284038518,603000000.0,53.6,6
LBY,Libya,2022,11.553129950019969,46.27222283547664,85.90575549873428,57.25886878472717,39.19540720651443,29.432144638644868,,1.62326033379453,702000000.0,48.45,13
LBY,Libya,2023,12.49004853260385,59.386865511376186,87.77311338115871,61.817922781022936,38.86070731652976,29.0348377958364,,1.80500147243983,794700000.0,50.16,12
LBY,Libya,2024,13.72714642207039,53.98878649861083,69.40180071131292,61.817922781022936,40.14464412434248,28.59561325860319,,,,44.96,12
DZA,Algeria,2000,27.732171688086357,53.76587526923487,29.825543934005665,70.41001317612267,42.73866290073431,21.32198202168311,0.1217559888573741,0.511220957154505,280100000.0,36.0,17
DZA,Algeria,2001,31.357251042695687,52.42190973778832,24.82813055870596,67.95850956808756,50.0,20.95930283948639,0.0676978474554512,1.87349238167778,1113105540.0,36.02,15
DZA,Algeria,2002,34.98233039730501,54.688893300162874,26.06415289838021,67.83015452648868,41.57916755856473,28.39295641679933,0.0425082737909628,1.73118897497205,1064960000.0,35.82,17
DZA,Algeria,2003,35.07590067389257,54.95690639283847,26.77189876430529,68.61742586359456,42.35096176971124,20.20296183138771,0.0345121717367295,0.868036712018978,637853030.0,36.16,17
DZA,Algeria,2004,39.69651331177725,53.870379322571985,28.92530086735134,69.98517787916168,45.35826531901026,19.905892953507987,0.0230683554276428,0.962586875552012,884749030.0,38.5,16
DZA,Algeria,2005,42.62449896719248,55.2126049989433,32.214907913787165,75.21773605001636,49.31623899820627,19.63251668552051,0.0180105802980876,1.07990333031143,1155999999.99994,41.73,14
DZA,Algeria,2006,42.94341745771151,53.473233838806806,31.65978511634012,76.50133654241013,47.571584684038235,30.95294555409841,0.0031057516638694,1.49572335207526,1841000000.00007,41.76,14
DZA,Algeria,2007,43.00795752448349,53.51367639121802,32.637932465317114,74.79163723239598,47.52673652967678,19.32086774001479,0.0007627474544564,1.1838181536619,1686736539.70384,41.52,14
DZA,Algeria,2008,41.80959229751645,53.250496968984805,34.727826023289374,75.86483850891179,48.09191660607926,33.66017389952597,0.0,1.46277344571787,2638607033.75183,42.5,14
DZA,Algeria,2009,39.07945786943493,51.79490265209521,30.681424268372087,68.55928752083823,46.46845230371329,19.29717513012255,0.0,1.82742164668261,2746930734.16533,38.8,15
DZA,Algeria,2010,39.18751166587353,54.920784184189365,30.205282292017746,69.70232772780423,45.25577199392569,19.922295529587235,0.0,1.29390467487817,2300369124.15827,38.73,14
DZA,Algeria,2011,36.73710458128601,53.95759860187555,29.442576658017856,72.21464546192772,44.20885963678682,19.583308957282767,0.0067194116506036,1.17767329101171,2571237024.68517,38.24,13
